A-2,A-3,E-13,F-1,G-1,G-4,P-2,T-1,T-2,T-3
-0.711922393,0.402416473,-0.6152518,-0.284731781,0.977306566,1,-0.97860962,0.810754098,0.839824824,0.983370006
-0.711922393,0.204666032,-0.6542816,-0.33589024,0.979119466,1,-0.925134192,0.810754098,0.832874631,0.980304514
-0.711922393,0.402416473,-0.589951243,-0.333880745,0.979058823,1,-0.925134192,0.824487125,0.815505814,0.977240043
-0.711922393,0.204666032,-0.602530393,-0.332225549,0.842802297,1,-0.97860962,0.821053656,0.805087694,0.974176524
-0.720361195,0.204666032,-0.641126193,-0.334552813,0.977474275,1,-0.919786858,0.817620437,0.812032233,0.974176524
-0.720361195,0.204666032,-0.808972022,0.223852503,0.978240679,1,-0.97860962,0.821053656,0.825926559,0.971113278
-0.720361195,0.204666032,-0.885621007,-0.322408327,0.970365935,1,-0.925134192,0.834790177,0.805087694,0.971113278
-0.720361195,0.204666032,-0.917443509,-0.331090563,0.968536236,1,-0.919786858,0.827921742,0.812032233,0.968051053
-0.720361195,0.204666032,-0.901447875,-0.328758539,0.960836103,1,-0.925134192,0.83135586,0.805087694,0.968051053
-0.720361195,0.006819748,-0.917443509,-0.31314234,0.956801504,1,-0.93582886,0.845095924,0.805087694,0.968051053
-0.728783662,0.006819748,-0.917443509,-0.315482852,0.806985276,1,-0.925134192,0.838225742,0.808559862,0.964989441
-0.728783662,0.006819748,-0.917443509,-0.320955916,0.950455714,1,-0.97860962,0.83135586,0.808559862,0.964989441
-0.728783662,-0.1911221,-0.933609242,-0.325610387,0.945446789,1,-0.925134192,0.848532337,0.825926559,0.961928373
-0.728783662,-0.1911221,-0.917443509,-0.31947724,0.933750101,1,-0.925134192,0.821053656,0.805087694,0.961928373
-0.728783662,-0.1911221,-0.917443509,-0.321164493,0.922873042,1,-0.930481526,0.824487125,0.812032233,0.961928373
-0.728783662,-0.1911221,-0.933609242,0.009459883,0.908878567,1,-0.97860962,0.827921742,0.812032233,0.961928373
-0.728783662,-0.1911221,-0.933609242,-0.322701149,0.896059959,1,-0.925134192,0.810754098,0.787729932,0.958868326
-0.728783662,-0.38915713,-0.94994641,-0.31796771,0.759414728,1,-0.930481526,0.807321726,0.787729932,0.958868326
-0.449222741,-0.38915713,-0.933609242,-0.317659633,0.884523355,1,-0.93582886,0.821053656,0.784259581,0.958868326
-0.449222741,-0.587289239,-0.933609242,-0.110122867,0.87899224,1,-0.930481526,0.814186668,0.7946723,0.958868326
